session_number,emotion,user_emotion,reaction_time,response_type
1,neutral,neutral,0.8296434879302979,Correct
1,neutral,neutral,0.6914916038513184,Correct
1,neutral,neutral,0.7037355899810791,Correct
1,neutral,neutral,0.779494047164917,Correct
1,happy,happy,0.5851750373840332,Correct
1,angry,angry,0.831742525100708,Correct
1,neutral,neutral,1.2272062301635742,Correct
1,happy,happy,0.6194355487823486,Correct
1,happy,happy,0.6835851669311523,Correct
1,happy,happy,0.6803772449493408,Correct
1,angry,neutral,0.8560950756072998,Incorrect
1,happy,happy,0.7155287265777588,Correct
1,angry,angry,0.712801456451416,Correct
1,happy,neutral,1.0024638175964355,Incorrect
1,neutral,neutral,0.768348217010498,Correct
1,happy,happy,0.7153654098510742,Correct
1,happy,happy,0.659538984298706,Correct
1,neutral,neutral,0.8437957763671875,Correct
1,neutral,neutral,0.6753718852996826,Correct
1,neutral,neutral,0.6965780258178711,Correct
1,angry,angry,0.9145689010620117,Correct
1,neutral,neutral,1.1471407413482666,Correct
1,angry,angry,0.8191108703613281,Correct
1,angry,angry,0.9153385162353516,Correct
1,neutral,neutral,0.8842389583587646,Correct
2,angry,neutral,0.0004291534423828125,Incorrect
2,happy,happy,0.682969331741333,Correct
2,angry,angry,0.9635655879974365,Correct
2,angry,angry,0.936161994934082,Correct
2,happy,happy,1.0117216110229492,Correct
2,angry,angry,0.7209653854370117,Correct
2,happy,happy,0.6382615566253662,Correct
2,angry,angry,0.6481423377990723,Correct
2,angry,angry,0.7632858753204346,Correct
2,neutral,neutral,0.8994345664978027,Correct
2,angry,angry,0.832047700881958,Correct
2,neutral,neutral,1.058974027633667,Correct
2,angry,angry,0.6999154090881348,Correct
2,happy,happy,0.6712572574615479,Correct
2,angry,angry,0.7871065139770508,Correct
2,angry,angry,0.7207386493682861,Correct
2,happy,happy,0.5304696559906006,Correct
2,neutral,neutral,0.8003785610198975,Correct
2,happy,happy,1.1042540073394775,Correct
2,angry,neutral,1.1478068828582764,Incorrect
2,angry,angry,0.9223728179931641,Correct
2,neutral,neutral,1.016007661819458,Correct
2,angry,angry,0.8836820125579834,Correct
2,angry,angry,1.3365485668182373,Correct
3,happy,happy,0.6601760387420654,Correct
3,neutral,neutral,0.7601110935211182,Correct
3,neutral,neutral,0.6758832931518555,Correct
3,neutral,neutral,0.8444676399230957,Correct
3,happy,happy,0.7073123455047607,Correct
3,angry,angry,0.6720514297485352,Correct
3,angry,angry,1.059701681137085,Correct
3,neutral,neutral,1.1200156211853027,Correct
3,neutral,neutral,0.9600522518157959,Correct
3,neutral,neutral,0.6752285957336426,Correct
3,angry,angry,0.8990328311920166,Correct
3,neutral,neutral,0.9234130382537842,Correct
3,angry,angry,0.8035576343536377,Correct
3,happy,happy,0.7842366695404053,Correct
3,angry,angry,0.8244142532348633,Correct
3,neutral,neutral,0.7602980136871338,Correct
3,happy,happy,0.547738790512085,Correct
