session_number,distractor_type,shape,response,reaction_time,correctness
6,angry,triangle,triangle,0.6609134674072266,Correct
6,happy,triangle,triangle,0.5489671230316162,Correct
6,happy,square,square,0.5573129653930664,Correct
7,neutral,circle,circle,0.3900644779205322,Correct
7,neutral,circle,circle,0.5317246913909912,Correct
7,happy,square,square,0.6137850284576416,Correct
7,angry,square,square,0.7249531745910645,Correct
7,angry,triangle,triangle,0.5638859272003174,Correct
7,neutral,circle,circle,0.7249267101287842,Correct
7,neutral,square,square,0.5787241458892822,Correct
7,neutral,circle,circle,0.5239355564117432,Correct
7,happy,triangle,triangle,0.7487339973449707,Correct
7,happy,circle,circle,0.5690963268280029,Correct
7,neutral,circle,circle,0.633014440536499,Correct
7,angry,square,square,0.5010323524475098,Correct
7,neutral,triangle,triangle,0.43776679039001465,Correct
7,happy,triangle,triangle,0.4677574634552002,Correct
7,happy,triangle,triangle,0.4939272403717041,Correct
7,happy,square,square,0.4462466239929199,Correct
7,neutral,square,square,0.8141663074493408,Correct
7,neutral,circle,circle,0.5078380107879639,Correct
7,angry,square,square,0.6127347946166992,Correct
7,happy,square,square,0.6186697483062744,Correct
7,happy,square,square,0.6197984218597412,Correct
7,neutral,square,square,0.5729954242706299,Correct
7,neutral,square,square,0.5138909816741943,Correct
7,happy,triangle,triangle,0.7777180671691895,Correct
7,neutral,triangle,triangle,0.659773588180542,Correct
8,angry,circle,circle,0.6091129779815674,Correct
8,neutral,circle,circle,0.5408341884613037,Correct
8,happy,square,square,0.5149006843566895,Correct
8,happy,triangle,square,0.5797369480133057,Incorrect
8,neutral,square,square,0.6828596591949463,Correct
8,happy,circle,circle,0.6197147369384766,Correct
8,angry,square,square,0.5937929153442383,Correct
8,angry,circle,circle,0.56093430519104,Correct
8,neutral,circle,circle,0.669119119644165,Correct
8,happy,square,square,0.866905927658081,Correct
8,happy,circle,circle,0.45383524894714355,Correct
8,neutral,circle,circle,0.4698522090911865,Correct
8,neutral,circle,circle,0.42897510528564453,Correct
8,neutral,triangle,triangle,0.6337394714355469,Correct
8,angry,triangle,triangle,0.5778100490570068,Correct
8,happy,square,square,0.5968501567840576,Correct
8,neutral,square,square,0.7176425457000732,Correct
8,angry,triangle,triangle,0.5500009059906006,Correct
8,angry,square,square,0.5177028179168701,Correct
8,angry,circle,circle,0.5579104423522949,Correct
8,happy,circle,circle,0.8608019351959229,Correct
8,angry,square,square,0.6049361228942871,Correct
8,happy,square,square,0.6127691268920898,Correct
8,angry,square,square,0.6206955909729004,Correct
8,neutral,circle,circle,0.5499117374420166,Correct
